dictionary,country,year,dimension,source,count
elected,turkey,2021,electoral,freedomhouse_freedom-world,2
elections,turkey,2021,electoral,freedomhouse_freedom-world,8
votes,turkey,2021,electoral,freedomhouse_freedom-world,1
voting,turkey,2021,electoral,freedomhouse_freedom-world,3
referendum,turkey,2021,participatory,freedomhouse_freedom-world,2
election,turkey,2021,electoral,freedomhouse_freedom-world,7
vote,turkey,2021,electoral,freedomhouse_freedom-world,7
the opposition,turkey,2021,electoral,freedomhouse_freedom-world,3
electoral,turkey,2021,electoral,freedomhouse_freedom-world,5
media,turkey,2021,media,freedomhouse_freedom-world,7
campaign,turkey,2021,electoral,freedomhouse_freedom-world,3
campaigned,turkey,2021,electoral,freedomhouse_freedom-world,1
representation,turkey,2021,electoral,freedomhouse_freedom-world,3
proportional representation,turkey,2021,electoral,freedomhouse_freedom-world,1
opposition parties,turkey,2021,electoral,freedomhouse_freedom-world,3
judges,turkey,2021,liberal_institution,freedomhouse_freedom-world,7
contest,turkey,2021,electoral,freedomhouse_freedom-world,1
court,turkey,2021,liberal_institution,freedomhouse_freedom-world,6
judiciary,turkey,2021,liberal_institution,freedomhouse_freedom-world,4
propaganda,turkey,2021,media,freedomhouse_freedom-world,1
muslims,turkey,2021,liberal_rights,freedomhouse_freedom-world,1
islamic,turkey,2021,liberal_rights,freedomhouse_freedom-world,4
discrimination,turkey,2021,liberal_rights,freedomhouse_freedom-world,5
ethnic,turkey,2021,liberal_rights,freedomhouse_freedom-world,3
minorities,turkey,2021,liberal_rights,freedomhouse_freedom-world,2
minority,turkey,2021,liberal_rights,freedomhouse_freedom-world,4
women,turkey,2021,liberal_rights,freedomhouse_freedom-world,7
lgbt,turkey,2021,liberal_rights,freedomhouse_freedom-world,5
refugees,turkey,2021,liberal_rights,freedomhouse_freedom-world,9
check,turkey,2021,liberal_institution,freedomhouse_freedom-world,1
civil liberties,turkey,2021,liberal_rights,freedomhouse_freedom-world,1
ngos,turkey,2021,participatory,freedomhouse_freedom-world,3
prosecutors,turkey,2021,liberal_institution,freedomhouse_freedom-world,5
access to information,turkey,2021,participatory,freedomhouse_freedom-world,1
journalists,turkey,2021,media,freedomhouse_freedom-world,6
civil society,turkey,2021,participatory,freedomhouse_freedom-world,5
television,turkey,2021,media,freedomhouse_freedom-world,1
newspapers,turkey,2021,media,freedomhouse_freedom-world,1
websites,turkey,2021,media,freedomhouse_freedom-world,1
online,turkey,2021,media,freedomhouse_freedom-world,5
news,turkey,2021,media,freedomhouse_freedom-world,1
islam,turkey,2021,liberal_rights,freedomhouse_freedom-world,2
freedom of religion,turkey,2021,participatory,freedomhouse_freedom-world,1
protest,turkey,2021,participatory,freedomhouse_freedom-world,2
social media,turkey,2021,media,freedomhouse_freedom-world,1
freedom of assembly,turkey,2021,participatory,freedomhouse_freedom-world,1
protests,turkey,2021,participatory,freedomhouse_freedom-world,4
opposition party,turkey,2021,electoral,freedomhouse_freedom-world,1
demonstrations,turkey,2021,participatory,freedomhouse_freedom-world,2
participants,turkey,2021,participatory,freedomhouse_freedom-world,4
ngo,turkey,2021,participatory,freedomhouse_freedom-world,1
human rights,turkey,2021,liberal_rights,freedomhouse_freedom-world,4
union,turkey,2021,participatory,freedomhouse_freedom-world,3
strike,turkey,2021,participatory,freedomhouse_freedom-world,1
unions,turkey,2021,participatory,freedomhouse_freedom-world,3
due process,turkey,2021,liberal_institution,freedomhouse_freedom-world,2
justice,turkey,2021,liberal_institution,freedomhouse_freedom-world,1
gender,turkey,2021,liberal_rights,freedomhouse_freedom-world,2
asylum,turkey,2021,liberal_rights,freedomhouse_freedom-world,2
refugee,turkey,2021,liberal_rights,freedomhouse_freedom-world,2
samesex,turkey,2021,liberal_rights,freedomhouse_freedom-world,1
sexual orientation,turkey,2021,liberal_rights,freedomhouse_freedom-world,1
elections,spain,2018,electoral,freedomhouse_freedom-world,9
votes,spain,2018,electoral,freedomhouse_freedom-world,1
minority,spain,2018,liberal_rights,freedomhouse_freedom-world,4
vote,spain,2018,electoral,freedomhouse_freedom-world,6
